gene,chromosome,insertions,expected,p,q
ENSMUSG00000026213,1,0.0,0.013788777319463541,1.0,1.0
ENSMUSG00000026219,1,0.0,0.4032285691799879,1.0,1.0
ENSMUSG00000026220,1,0.0,0.04919239476132939,1.0,1.0
ENSMUSG00000026222,1,0.0,0.10919220958385993,1.0,1.0
ENSMUSG00000026223,1,0.0,0.008944071774787161,1.0,1.0
ENSMUSG00000026226,1,0.0,0.012670768347615146,1.0,1.0
ENSMUSG00000026227,1,0.0,0.012298098690332347,1.0,1.0
ENSMUSG00000026228,1,0.0,0.042111671272956216,1.0,1.0
ENSMUSG00000026229,1,0.0,0.2038503025336907,1.0,1.0
ENSMUSG00000026234,1,0.0,0.02496886703794749,1.0,1.0
ENSMUSG00000026235,1,0.0,0.33912938812734655,1.0,1.0
ENSMUSG00000026237,1,0.0,0.06447185070992412,1.0,1.0
ENSMUSG00000026238,1,0.0,0.001863348286413992,1.0,1.0
ENSMUSG00000026239,1,0.0,0.09726678055081038,1.0,1.0
ENSMUSG00000026240,1,0.0,0.042111671272956216,1.0,1.0
ENSMUSG00000026241,1,0.0,0.0,1.0,1.0
ENSMUSG00000026245,1,0.0,0.17403672995106687,1.0,1.0
ENSMUSG00000026246,1,0.0,0.0011180089718483951,1.0,1.0
ENSMUSG00000026247,1,0.0,0.002981357258262387,1.0,1.0
ENSMUSG00000026248,1,0.0,0.01602479526316033,1.0,1.0
ENSMUSG00000026249,1,0.0,0.1136642454712535,1.0,1.0
ENSMUSG00000026251,1,0.0,0.010434750403918355,1.0,1.0
ENSMUSG00000026253,1,0.0,0.0026086876009795887,1.0,1.0
ENSMUSG00000026254,1,0.0,0.0465837071603498,1.0,1.0
ENSMUSG00000026255,1,0.0,0.06782587762546931,1.0,1.0
ENSMUSG00000026258,1,0.0,0.001863348286413992,1.0,1.0
ENSMUSG00000026259,1,0.0,0.15130388085681615,1.0,1.0
ENSMUSG00000026260,1,0.0,0.05925447550796495,1.0,1.0
ENSMUSG00000026269,1,0.0,0.002981357258262387,1.0,1.0
ENSMUSG00000026270,1,0.0,0.009689411089352758,1.0,1.0
ENSMUSG00000026271,1,0.0,0.05180108236230898,1.0,1.0
ENSMUSG00000026272,1,0.0,0.0026086876009795887,1.0,1.0
ENSMUSG00000026273,1,0.0,0.004844705544676379,1.0,1.0
ENSMUSG00000026274,1,0.0,0.04993773407589498,1.0,1.0
ENSMUSG00000026275,1,0.0,0.03614895675643144,1.0,1.0
ENSMUSG00000026277,1,0.0,0.06223583276622733,1.0,1.0
ENSMUSG00000026278,1,0.0,0.00931674143206996,1.0,1.0
ENSMUSG00000026279,1,0.0,0.08571402117504363,1.0,1.0
ENSMUSG00000026280,1,0.0,0.06819854728275211,1.0,1.0
ENSMUSG00000026281,1,0.0,0.017142804235008725,1.0,1.0
ENSMUSG00000026283,1,0.0,0.01602479526316033,1.0,1.0
ENSMUSG00000026285,1,0.0,0.011925429033049549,1.0,1.0
ENSMUSG00000026288,1,0.0,0.14310514839659458,1.0,1.0
ENSMUSG00000026289,1,0.0,0.08086931563036726,1.0,1.0
ENSMUSG00000026295,1,0.0,0.022732849094250704,1.0,1.0
ENSMUSG00000026301,1,0.0,0.1822354624112884,1.0,1.0
ENSMUSG00000026303,1,0.0,0.04434768921665301,1.0,1.0
ENSMUSG00000026304,1,0.0,0.00931674143206996,1.0,1.0
ENSMUSG00000026305,1,0.0,0.19453356110162076,1.0,1.0
ENSMUSG00000026307,1,0.0,0.029440902925341073,1.0,1.0
ENSMUSG00000026308,1,0.0,0.006708053831090371,1.0,1.0
ENSMUSG00000026309,1,0.0,0.0473290464749154,1.0,1.0
ENSMUSG00000026311,1,0.0,0.026086876009795888,1.0,1.0
