mouse_ensembl_gene,expected,observed,p,q,gene
ENSMUSG00000021484,0.2749129658475982,0,1.0,1.0,Lman2
ENSMUSG00000021485,0.2749129658475982,0,1.0,1.0,Mxd3
ENSMUSG00000021486,0.2749129658475982,0,1.0,1.0,Prelid1
ENSMUSG00000021488,0.2749129658475982,0,1.0,1.0,Nsd1
ENSMUSG00000021490,0.2749129658475982,0,1.0,1.0,Slc34a1
ENSMUSG00000021492,0.2749129658475982,0,1.0,1.0,F12
ENSMUSG00000021493,0.2749129658475982,0,1.0,1.0,Pdlim7
ENSMUSG00000021494,0.2749129658475982,0,1.0,1.0,Ddx41
ENSMUSG00000021495,0.2749129658475982,1,0.2403617651821572,1.0,Fam193b
ENSMUSG00000021496,0.2749129658475982,0,1.0,1.0,Pcbd2
ENSMUSG00000021497,0.2749129658475982,0,1.0,1.0,Txndc15
ENSMUSG00000021499,0.2749129658475982,0,1.0,1.0,Catsper3
ENSMUSG00000021500,0.2749129658475982,0,1.0,1.0,Ddx46
ENSMUSG00000021501,0.2749129658475982,0,1.0,1.0,Caml
ENSMUSG00000021504,0.2749129658475982,0,1.0,1.0,B4galt7
ENSMUSG00000021506,0.2749129658475982,0,1.0,1.0,Pitx1
ENSMUSG00000021508,0.2749129658475982,0,1.0,1.0,Cxcl14
ENSMUSG00000021509,0.2749129658475982,0,1.0,1.0,Slc25a48
ENSMUSG00000021518,0.2749129658475982,0,1.0,1.0,Ptdss1
ENSMUSG00000021519,0.2749129658475982,0,1.0,1.0,Mterf3
ENSMUSG00000021520,0.2749129658475982,0,1.0,1.0,Uqcrb
ENSMUSG00000021532,0.2749129658475982,0,1.0,1.0,Fastkd3
ENSMUSG00000021534,0.2749129658475982,0,1.0,1.0,1700001L19Rik
ENSMUSG00000021536,0.2749129658475982,2,0.03152736507714968,0.5364969178257425,Adcy2
ENSMUSG00000021537,0.4985088447369781,1,0.3925642342428429,1.0,Cetn3
ENSMUSG00000021538,0.2749129658475982,0,1.0,1.0,Il9
ENSMUSG00000021539,0.2749129658475982,0,1.0,1.0,Lect2
ENSMUSG00000021540,0.2749129658475982,2,0.03152736507714968,0.5364969178257425,Smad5
ENSMUSG00000021541,0.2749129658475982,1,0.2403617651821572,1.0,Trpc7
ENSMUSG00000021546,0.2749129658475982,0,1.0,1.0,Hnrnpk
ENSMUSG00000021548,0.557156944117799,1,0.42716464614099064,1.0,Ccnh
ENSMUSG00000021549,0.557156944117799,2,0.10800545090226683,1.0,Rasa1
ENSMUSG00000021550,0.2749129658475982,0,1.0,1.0,2210016F16Rik
ENSMUSG00000021552,0.2749129658475982,0,1.0,1.0,Gkap1
ENSMUSG00000021553,0.2749129658475982,0,1.0,1.0,Slc28a3
ENSMUSG00000021555,0.2749129658475982,0,1.0,1.0,Naa35
ENSMUSG00000021556,0.2749129658475982,0,1.0,1.0,Golm1
ENSMUSG00000021557,0.2749129658475982,1,0.2403617651821572,1.0,Agtpbp1
ENSMUSG00000021559,0.2749129658475982,2,0.03152736507714968,0.5364969178257425,Dapk1
ENSMUSG00000021565,0.5663207096460523,0,1.0,1.0,Slc6a19
ENSMUSG00000021567,0.5663207096460523,0,1.0,1.0,Nkd2
ENSMUSG00000021569,0.5663207096460523,1,0.4323899965009572,1.0,Trip13
ENSMUSG00000021572,0.5663207096460523,1,0.4323899965009572,1.0,Cep72
ENSMUSG00000021573,0.5663207096460523,0,1.0,1.0,Tppp
ENSMUSG00000021575,0.5663207096460523,0,1.0,1.0,Ahrr
ENSMUSG00000021576,0.5663207096460523,0,1.0,1.0,Pdcd6
ENSMUSG00000021577,0.5663207096460523,0,1.0,1.0,Sdha
ENSMUSG00000021578,0.5663207096460523,1,0.4323899965009572,1.0,Ccdc127
ENSMUSG00000021579,0.5663207096460523,0,1.0,1.0,Lrrc14b
ENSMUSG00000021583,0.5663207096460523,0,1.0,1.0,Erap1
